weightKg,pressureAltitudeFt,temperatureC,landingOver50M
800,0,-20,400
900,0,-20,437
1000,0,-20,475
800,0,-15,400
900,0,-15,437
1000,0,-15,475
800,0,-10,400
900,0,-10,437
1000,0,-10,475
800,0,-5,401
900,0,-5,439
1000,0,-5,477
800,0,0,408
900,0,0,447
1000,0,0,486
800,0,5,416
900,0,5,455
1000,0,5,495
800,0,10,423
900,0,10,463
1000,0,10,504
800,0,15,430
900,0,15,472
1000,0,15,513
800,0,20,438
900,0,20,480
1000,0,20,523
800,0,25,445
900,0,25,489
1000,0,25,534
800,0,30,452
900,0,30,497
1000,0,30,541
800,0,35,460
900,0,35,505
1000,0,35,550
800,0,40,467
900,0,40,513
1000,0,40,560
800,2000,-20,403
900,2000,-20,441
1000,2000,-20,479
800,2000,-15,411
900,2000,-15,450
1000,2000,-15,489
800,2000,-10,419
900,2000,-10,459
1000,2000,-10,499
800,2000,-5,427
900,2000,-5,468
1000,2000,-5,509
800,2000,0,435
900,2000,0,477
1000,2000,0,520
800,2000,5,443
900,2000,5,487
1000,2000,5,531
800,2000,10,451
900,2000,10,495
1000,2000,10,540
800,2000,15,459
900,2000,15,504
1000,2000,15,550
800,2000,20,467
900,2000,20,513
1000,2000,20,560
800,2000,25,476
900,2000,25,523
1000,2000,25,570
800,2000,30,484
900,2000,30,532
1000,2000,30,580
800,2000,35,492
900,2000,35,541
1000,2000,35,590
800,2000,40,500
900,2000,40,550
1000,2000,40,600
800,4000,-20,426
900,4000,-20,467
1000,4000,-20,508
800,4000,-15,435
900,4000,-15,477
1000,4000,-15,519
800,4000,-10,444
900,4000,-10,488
1000,4000,-10,532
800,4000,-5,453
900,4000,-5,497
1000,4000,-5,541
800,4000,0,461
900,4000,0,506
1000,4000,0,552
800,4000,5,470
900,4000,5,516
1000,4000,5,563
800,4000,10,479
900,4000,10,526
1000,4000,10,574
800,4000,15,488
900,4000,15,536
1000,4000,15,585
800,4000,20,497
900,4000,20,546
1000,4000,20,596
800,4000,25,505
900,4000,25,556
1000,4000,25,607
800,4000,30,514
900,4000,30,566
1000,4000,30,618
800,4000,35,523
900,4000,35,576
1000,4000,35,630
800,4000,40,532
900,4000,40,584
1000,4000,40,641
800,8000,-20,481
900,8000,-20,528
1000,8000,-20,576
800,8000,-15,491
900,8000,-15,540
1000,8000,-15,589
800,8000,-10,502
900,8000,-10,552
1000,8000,-10,603
800,8000,-5,512
900,8000,-5,564
1000,8000,-5,616
800,8000,0,523
900,8000,0,575
1000,8000,0,629
800,8000,5,533
900,8000,5,585
1000,8000,5,642
800,8000,10,544
900,8000,10,596
1000,8000,10,656
800,8000,15,555
900,8000,15,606
1000,8000,15,670
800,8000,20,565
900,8000,20,616
1000,8000,20,683
800,8000,25,576
900,8000,25,626
1000,8000,25,697
800,8000,30,587
900,8000,30,636
1000,8000,30,710
800,8000,35,597
900,8000,35,646
1000,8000,35,724
800,8000,40,608
900,8000,40,656
1000,8000,40,737