weightKg,pressureAltitudeFt,temperatureC,takeoffOver50M
800,0,-20,298
900,0,-20,370
1000,0,-20,465
800,0,-15,298
900,0,-15,370
1000,0,-15,465
800,0,-10,298
900,0,-10,370
1000,0,-10,465
800,0,-5,310
900,0,-5,388
1000,0,-5,487
800,0,0,322
900,0,0,405
1000,0,0,509
800,0,5,334
900,0,5,423
1000,0,5,531
800,0,10,346
900,0,10,441
1000,0,10,553
800,0,15,358
900,0,15,458
1000,0,15,575
800,0,20,370
900,0,20,474
1000,0,20,598
800,0,25,382
900,0,25,489
1000,0,25,621
800,0,30,395
900,0,30,504
1000,0,30,643
800,0,35,407
900,0,35,518
1000,0,35,662
800,0,40,419
900,0,40,533
1000,0,40,681
800,2000,-20,333
900,2000,-20,421
1000,2000,-20,528
800,2000,-15,347
900,2000,-15,442
1000,2000,-15,554
800,2000,-10,361
900,2000,-10,462
1000,2000,-10,580
800,2000,-5,376
900,2000,-5,480
1000,2000,-5,608
800,2000,0,390
900,2000,0,498
1000,2000,0,635
800,2000,5,404
900,2000,5,516
1000,2000,5,658
800,2000,10,419
900,2000,10,532
1000,2000,10,681
800,2000,15,433
900,2000,15,550
1000,2000,15,704
800,2000,20,447
900,2000,20,569
1000,2000,20,728
800,2000,25,461
900,2000,25,589
1000,2000,25,753
800,2000,30,475
900,2000,30,609
1000,2000,30,778
800,2000,35,490
900,2000,35,627
1000,2000,35,802
800,2000,40,504
900,2000,40,644
1000,2000,40,826
800,4000,-20,384
900,4000,-20,492
1000,4000,-20,625
800,4000,-15,401
900,4000,-15,512
1000,4000,-15,654
800,4000,-10,418
900,4000,-10,532
1000,4000,-10,680
800,4000,-5,435
900,4000,-5,553
1000,4000,-5,708
800,4000,0,452
900,4000,0,576
1000,4000,0,737
800,4000,5,469
900,4000,5,599
1000,4000,5,766
800,4000,10,485
900,4000,10,621
1000,4000,10,795
800,4000,15,502
900,4000,15,642
1000,4000,15,823
800,4000,20,519
900,4000,20,663
1000,4000,20,851
800,4000,25,535
900,4000,25,690
1000,4000,25,885
800,4000,30,552
900,4000,30,722
1000,4000,30,924
800,4000,35,568
900,4000,35,753
1000,4000,35,960
800,4000,40,585
900,4000,40,775
1000,4000,40,988
800,8000,-20,546
900,8000,-20,711
1000,8000,-20,910
800,8000,-15,570
900,8000,-15,755
1000,8000,-15,964
800,8000,-10,595
900,8000,-10,787
1000,8000,-10,1004
800,8000,-5,619
900,8000,-5,819
1000,8000,-5,1045
800,8000,0,643
900,8000,0,849
1000,8000,0,1084
800,8000,5,667
900,8000,5,877
1000,8000,5,1121
800,8000,10,691
900,8000,10,906
1000,8000,10,1159
800,8000,15,715
900,8000,15,934
1000,8000,15,1197
800,8000,20,739
900,8000,20,962
1000,8000,20,1234
800,8000,25,763
900,8000,25,990
1000,8000,25,1272
800,8000,30,788
900,8000,30,1019
1000,8000,30,1310
800,8000,35,812
900,8000,35,1047
1000,8000,35,1347
800,8000,40,837
900,8000,40,1075
1000,8000,40,1385